task_id,workflow_id,node_id,node_class,seed,tier,memory_strategy,condition,workflow_depth,workflow_category,base_input_tokens,memory_tokens_injected,output_tokens,cost_inference,cost_injection,cost_miss_penalty,cost_accum,cost_total,warm_hit,fallback_used,retrieval_latency_ms,answer_correct,required_topics_recall,cache_read_tokens,cache_creation_tokens,end_to_end_ms,model_id
T015,T015-A-99-6e2118,sql-gen,sql-gen,99,sonnet,full-history,A,2,Billing,226,154,181,0.003393,0.000462,0.0,0.0,0.0038550000000000004,False,False,0.30854200304020196,False,0.75,0,0,2648.912375996588,claude-sonnet-4-6
T015,T015-A-99-6e2118,billing-recon,billing-recon,99,sonnet,full-history,A,3,Billing,505,341,300,0.006015,0.001023,0.0,0.0,0.007038000000000001,False,False,0.3294589987490326,False,0.25,0,0,5111.013708985411,claude-sonnet-4-6
T016,T016-A-99-cb144e,extract,extract,99,sonnet,full-history,A,1,Billing,65,0,277,0.00435,0.0,0.0,0.0,0.00435,False,False,0.3290409949840978,True,1.0,0,0,6997.176207994926,claude-sonnet-4-6
T016,T016-A-99-cb144e,sql-gen,sql-gen,99,sonnet,full-history,A,2,Billing,216,159,196,0.003588,0.000477,0.0,0.0,0.004065,False,False,0.26091600011568516,True,1.0,0,0,3091.9302069960395,claude-sonnet-4-6
T016,T016-A-99-cb144e,billing-recon,billing-recon,99,sonnet,full-history,A,3,Billing,492,361,300,0.005976,0.001083,0.0,0.0,0.007059,False,False,0.27183299243915826,False,0.0,0,0,5278.559041995322,claude-sonnet-4-6
T017,T017-A-99-1f4335,extract,extract,99,sonnet,full-history,A,1,Billing,76,0,285,0.004503,0.0,0.0,0.0,0.004503,False,False,0.7064999954309314,True,1.0,0,0,7172.970291998354,claude-sonnet-4-6
T017,T017-A-99-1f4335,sql-gen,sql-gen,99,sonnet,full-history,A,2,Billing,238,160,300,0.005214000000000001,0.00048,0.0,0.0,0.005694000000000001,False,False,0.2885830035666004,False,0.8,0,0,4485.632458003238,claude-sonnet-4-6
T017,T017-A-99-1f4335,billing-recon,billing-recon,99,sonnet,full-history,A,3,Billing,534,379,300,0.006102000000000001,0.001137,0.0,0.0,0.007239000000000001,False,False,0.2894580102292821,True,0.8,0,0,4804.995125014102,claude-sonnet-4-6
T017,T017-A-99-1f4335,policy-check,policy-check,99,sonnet,full-history,A,4,Billing,589,516,300,0.006267000000000001,0.0015480000000000001,0.0,0.0,0.007815,False,False,0.2786249970085919,False,0.2,0,0,6828.376582998317,claude-sonnet-4-6
T018,T018-A-99-12a3ef,extract,extract,99,sonnet,full-history,A,1,Billing,69,0,238,0.0037770000000000004,0.0,0.0,0.0,0.0037770000000000004,False,False,0.2896249934565276,True,1.0,0,0,6106.001624997589,claude-sonnet-4-6
T018,T018-A-99-12a3ef,sql-gen,sql-gen,99,sonnet,full-history,A,2,Billing,223,138,300,0.005169000000000001,0.00041400000000000003,0.0,0.0,0.005583000000000001,False,False,0.29512500623241067,False,0.5,0,0,5247.714708006242,claude-sonnet-4-6
T018,T018-A-99-12a3ef,billing-recon,billing-recon,99,sonnet,full-history,A,3,Billing,479,298,300,0.0059370000000000004,0.000894,0.0,0.0,0.006831,False,False,0.29850000282749534,False,0.25,0,0,5300.266125006601,claude-sonnet-4-6
T018,T018-A-99-12a3ef,policy-check,policy-check,99,sonnet,full-history,A,4,Billing,511,446,300,0.006033,0.001338,0.0,0.0,0.007371,False,False,0.28537500475067645,True,0.75,0,0,6644.990000000689,claude-sonnet-4-6
T019,T019-A-99-14cd5a,extract,extract,99,sonnet,full-history,A,1,Billing,76,0,255,0.004053,0.0,0.0,0.0,0.004053,False,False,0.2708329993765801,True,1.0,0,0,6636.1352920066565,claude-sonnet-4-6
T019,T019-A-99-14cd5a,sql-gen,sql-gen,99,sonnet,full-history,A,2,Billing,233,148,274,0.004809,0.000444,0.0,0.0,0.005253,False,False,1.1496669903863221,True,0.5,0,0,3902.058499981649,claude-sonnet-4-6
T019,T019-A-99-14cd5a,billing-recon,billing-recon,99,sonnet,full-history,A,3,Billing,514,341,300,0.0060420000000000005,0.001023,0.0,0.0,0.007065,False,False,0.7866670057410374,False,0.0,0,0,5402.392959003919,claude-sonnet-4-6
T019,T019-A-99-14cd5a,policy-check,policy-check,99,sonnet,full-history,A,4,Billing,556,481,300,0.006168000000000001,0.001443,0.0,0.0,0.007611000000000001,False,False,0.3244589897803962,True,0.75,0,0,8016.654833991197,claude-sonnet-4-6
T020,T020-A-99-5721ec,extract,extract,99,sonnet,full-history,A,1,Billing,67,0,256,0.004041,0.0,0.0,0.0,0.004041,False,False,1.2817079987144098,True,1.0,0,0,6610.745957994368,claude-sonnet-4-6
T020,T020-A-99-5721ec,sql-gen,sql-gen,99,sonnet,full-history,A,2,Billing,220,147,300,0.0051600000000000005,0.000441,0.0,0.0,0.005601,False,False,0.31708400638308376,False,0.25,0,0,4519.982459009043,claude-sonnet-4-6
T020,T020-A-99-5721ec,billing-recon,billing-recon,99,sonnet,full-history,A,3,Billing,485,334,300,0.005955,0.001002,0.0,0.0,0.0069570000000000005,False,False,0.6213750020833686,False,0.5,0,0,5054.579792005825,claude-sonnet-4-6
T020,T020-A-99-5721ec,policy-check,policy-check,99,sonnet,full-history,A,4,Billing,528,460,300,0.006084000000000001,0.00138,0.0,0.0,0.007464000000000001,False,False,1.294125002459623,True,0.75,0,0,6564.865958003793,claude-sonnet-4-6
T021,T021-A-99-0ad944,extract,extract,99,sonnet,full-history,A,1,Billing,71,0,221,0.0035280000000000003,0.0,0.0,0.0,0.0035280000000000003,False,False,0.28212500910740346,True,1.0,0,0,5989.997500000754,claude-sonnet-4-6
T021,T021-A-99-0ad944,sql-gen,sql-gen,99,sonnet,full-history,A,2,Billing,221,151,300,0.005163000000000001,0.000453,0.0,0.0,0.005616000000000001,False,False,0.3047079953830689,False,0.5,0,0,4214.784374998999,claude-sonnet-4-6
T021,T021-A-99-0ad944,billing-recon,billing-recon,99,sonnet,full-history,A,3,Billing,514,365,300,0.0060420000000000005,0.001095,0.0,0.0,0.007137000000000001,False,False,0.3133749996777624,False,0.0,0,0,6618.157457996858,claude-sonnet-4-6
T021,T021-A-99-0ad944,policy-check,policy-check,99,sonnet,full-history,A,4,Billing,586,518,300,0.0062580000000000005,0.001554,0.0,0.0,0.007812,False,False,0.349833004293032,False,0.5,0,0,6460.04874999926,claude-sonnet-4-6
T022,T022-A-99-c298e8,extract,extract,99,sonnet,full-history,A,1,Billing,73,0,268,0.004239,0.0,0.0,0.0,0.004239,False,False,0.2955840027425438,True,0.75,0,0,6997.703876011656,claude-sonnet-4-6
T022,T022-A-99-c298e8,sql-gen,sql-gen,99,sonnet,full-history,A,2,Billing,225,149,265,0.0046500000000000005,0.000447,0.0,0.0,0.005097000000000001,False,False,0.28566698892973363,True,0.5,0,0,4453.963666979689,claude-sonnet-4-6
T022,T022-A-99-c298e8,billing-recon,billing-recon,99,sonnet,full-history,A,3,Billing,500,333,300,0.006,0.000999,0.0,0.0,0.006999,False,False,0.40491699473932385,False,0.5,0,0,6235.48975099402,claude-sonnet-4-6
